id_restaurant,place_name,address,latitude,longitude,cluster
1,Sate Bandeng Ibu Amenah Serang,"Jl. Sayabulu km 1, Lingk No.11, RT.2/RW.1, Dalung, Kec. Cipocok Jaya, Kota Serang, Banten 42127, Indonesia",-6.143376,106.149564,5
2,Sate Bandeng - Bekakak Ayam Hj. Mariyam,"Tengah, Jl. Ki Uju No.63, RT.003/RW.002, Tengah, Kec. Serang, Kota Serang, Banten 42116, Indonesia",-6.120695,106.150161,5
3,Sate Bandeng Ibu Aliyah,"Jl. Lopang Gede III, Lopang, Kec. Serang, Kota Serang, Banten 42111, Indonesia",-6.10664,106.157729,5
4,Rabeg Khas Serang H. Naswi (Magersari),"Jl. Mayor Safei No.30, Kotabaru, Kec. Serang, Kota Serang, Banten 42112, Indonesia",-6.11272,106.152353,5
5,Warung Dahar Rabeg Khas Wong Banten,"Jalan Ayip Usman, Link. Cikepuh, Unyur, Kec. Serang, Kota Serang, Banten 42111, Indonesia",-6.10531,106.170051,5
6,Nasi Rabeg Khas Cilegon,"Jl. Cut Nyak Dien, Jombang Wetan, Kec. Jombang, Kota Cilegon, Banten 42411, Indonesia",-6.01851,106.053926,5
7,Warung Nasi Gerem Asem,"Tanara, Serang Regency, Banten 42194, Indonesia",-6.033919,106.365856,5
8,Lesehan Gerem Asem,"Susukan, Tirtayasa, Serang Regency, Banten 42193, Indonesia",-6.00379,106.294041,5
9,Kedai Gerem Asem (Masakan Khas Pontang),"Pengampelan, Walantaka, Serang City, Banten 42183, Indonesia",-6.142791,106.247909,5
10,Ketan Bintul Teh Ipah,"Jl. Maulana Hasanudin No.82, Kotabaru, Kec. Serang, Kota Serang, Banten 42112, Indonesia",-6.11115,106.154395,5
11,Ketan Bintul Ibu Hamdanah,"kampung baru, Kagungan, Kec. Serang, Kota Serang, Banten 42114, Indonesia",-6.106209,106.153338,5
12,Ketan Bintul Hj. Ras Kaujon,"Rumah cat putih depan kuburan, Jl. 45 no. 05, Jl. Kaujon Kidul No.013, RT.03, Serang, Banten 42116, Indonesia",-6.122006,106.14748,5
13,Nasi Bakar Sumsum Pisangmas - SERANG,"Pisang Mas, Jl. KH. TB. Achmad Khotib No.2, Cipare, Kec. Serang, Kota Serang, Banten 42117, Indonesia",-6.118225,106.157551,5
14,Nasi Sumsum Mang Puri Asli,"Jl. Kelapa Dua, Lontarbaru, Kec. Serang, Kota Serang, Banten 42115, Indonesia",-6.10832,106.147909,5
15,"Nasi Bakar Sumsum Ibu Mae, Permata","Jl. Intan No.72, Cipare, Kec. Serang, Kota Serang, Banten 42117, Indonesia",-6.128522,106.168229,5
16,RM Cep Udin Angeun Lada,"Pandeglang, Pandeglang Sub-District, Pandeglang Regency, Banten 42211, Indonesia",-6.301019,106.109559,5
17,Kerak telor Betawi,"Jalan.H.Mali No.30, RT.9/RW.8, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia",-6.340648,106.823141,1
18,KERAK TELOR KHAS BETAWI MAMPANG,"RT.3/RW.5, Menteng, Central Jakarta City, Jakarta 10310, Indonesia",-6.197139,106.828781,1
19,KERAK TELOR BANG DHORY,"Jl. Wr. Jati Bar. IV, RT.14/RW.5, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740, Indonesia",-6.267864,106.832581,1
20,Soto Betawi Haji Husen,"Jl. Padang Panjang No. 6C Pasar Manggis Setiabudi Jakarta Selatan DKI Jakarta 8 8, RT.8/RW.8, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12850, Indonesia",-6.213032,106.844839,1
21,Soto Betawi H. Maruf,"Jl. RP. Soeroso No.36A 2, RT.2/RW.13, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia",-6.191948,106.835961,1
22,Soto Betawi Mpok Rodemah,"Jl. Ciputat Raya No.29 1, RT.1/RW.12, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia",-6.271121,106.77522,1
23,Asinan Betawi H.Mansyur Kamboja,"Jl. Taman Kamboja No.10 8, RT.8/RW.11, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia",-6.200867,106.884973,1
24,Asinan Betawi Asymuni/H. Udin/Hj. Tati,"Jalan Pisangan Baru RT 002, RW05 No.31, Kec. Matraman, Daerah Khusus Ibukota Jakarta 13110, Indonesia",-6.211622,106.867136,1
25,Asinan Betawi Bang Sawal,"Jl. Arjuna Utara No.12, RT.12/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",-6.182204,106.792234,1
26,"Ketoprak Ciragil & Baso, Siomay Jhony","Jl. Cikatomas 1 No.29, RT.5/RW.1, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180, Indonesia",-6.237174,106.810392,1
